rgb,dense
rgb/r_2011_09_26_0001_2_0000000053.png,dense/gt_r_2011_09_26_0001_2_0000000053.png
rgb/r_2011_09_26_0001_2_0000000054.png,dense/gt_r_2011_09_26_0001_2_0000000054.png
rgb/r_2011_09_26_0001_2_0000000055.png,dense/gt_r_2011_09_26_0001_2_0000000055.png
rgb/r_2011_09_26_0001_2_0000000057.png,dense/gt_r_2011_09_26_0001_2_0000000057.png
rgb/r_2011_09_26_0001_2_0000000058.png,dense/gt_r_2011_09_26_0001_2_0000000058.png
rgb/r_2011_09_26_0001_2_0000000060.png,dense/gt_r_2011_09_26_0001_2_0000000060.png
rgb/r_2011_09_26_0001_2_0000000061.png,dense/gt_r_2011_09_26_0001_2_0000000061.png
rgb/r_2011_09_26_0001_2_0000000062.png,dense/gt_r_2011_09_26_0001_2_0000000062.png
rgb/r_2011_09_26_0001_2_0000000064.png,dense/gt_r_2011_09_26_0001_2_0000000064.png
rgb/r_2011_09_26_0001_2_0000000065.png,dense/gt_r_2011_09_26_0001_2_0000000065.png
rgb/r_2011_09_26_0001_2_0000000066.png,dense/gt_r_2011_09_26_0001_2_0000000066.png
rgb/r_2011_09_26_0001_2_0000000067.png,dense/gt_r_2011_09_26_0001_2_0000000067.png
rgb/r_2011_09_26_0001_2_0000000068.png,dense/gt_r_2011_09_26_0001_2_0000000068.png
rgb/r_2011_09_26_0001_2_0000000069.png,dense/gt_r_2011_09_26_0001_2_0000000069.png
rgb/r_2011_09_26_0001_2_0000000070.png,dense/gt_r_2011_09_26_0001_2_0000000070.png
rgb/r_2011_09_26_0001_2_0000000071.png,dense/gt_r_2011_09_26_0001_2_0000000071.png
rgb/r_2011_09_26_0001_2_0000000072.png,dense/gt_r_2011_09_26_0001_2_0000000072.png
rgb/r_2011_09_26_0001_2_0000000073.png,dense/gt_r_2011_09_26_0001_2_0000000073.png
rgb/r_2011_09_26_0001_2_0000000074.png,dense/gt_r_2011_09_26_0001_2_0000000074.png
rgb/r_2011_09_26_0001_2_0000000075.png,dense/gt_r_2011_09_26_0001_2_0000000075.png
rgb/r_2011_09_26_0001_2_0000000076.png,dense/gt_r_2011_09_26_0001_2_0000000076.png
rgb/r_2011_09_26_0001_2_0000000077.png,dense/gt_r_2011_09_26_0001_2_0000000077.png
rgb/r_2011_09_26_0001_2_0000000078.png,dense/gt_r_2011_09_26_0001_2_0000000078.png
rgb/r_2011_09_26_0001_2_0000000079.png,dense/gt_r_2011_09_26_0001_2_0000000079.png
rgb/r_2011_09_26_0001_2_0000000080.png,dense/gt_r_2011_09_26_0001_2_0000000080.png
rgb/r_2011_09_26_0001_2_0000000081.png,dense/gt_r_2011_09_26_0001_2_0000000081.png
rgb/r_2011_09_26_0001_2_0000000082.png,dense/gt_r_2011_09_26_0001_2_0000000082.png
rgb/r_2011_09_26_0001_2_0000000083.png,dense/gt_r_2011_09_26_0001_2_0000000083.png
rgb/r_2011_09_26_0001_2_0000000085.png,dense/gt_r_2011_09_26_0001_2_0000000085.png
rgb/r_2011_09_26_0001_2_0000000086.png,dense/gt_r_2011_09_26_0001_2_0000000086.png
rgb/r_2011_09_26_0001_2_0000000087.png,dense/gt_r_2011_09_26_0001_2_0000000087.png
rgb/r_2011_09_26_0001_2_0000000088.png,dense/gt_r_2011_09_26_0001_2_0000000088.png
rgb/r_2011_09_26_0001_2_0000000089.png,dense/gt_r_2011_09_26_0001_2_0000000089.png
rgb/r_2011_09_26_0001_2_0000000090.png,dense/gt_r_2011_09_26_0001_2_0000000090.png
rgb/r_2011_09_26_0001_2_0000000091.png,dense/gt_r_2011_09_26_0001_2_0000000091.png
rgb/r_2011_09_26_0001_2_0000000092.png,dense/gt_r_2011_09_26_0001_2_0000000092.png
rgb/r_2011_09_26_0001_2_0000000093.png,dense/gt_r_2011_09_26_0001_2_0000000093.png
rgb/r_2011_09_26_0001_2_0000000094.png,dense/gt_r_2011_09_26_0001_2_0000000094.png
rgb/r_2011_09_26_0001_2_0000000095.png,dense/gt_r_2011_09_26_0001_2_0000000095.png
rgb/r_2011_09_26_0001_2_0000000096.png,dense/gt_r_2011_09_26_0001_2_0000000096.png
rgb/r_2011_09_26_0001_2_0000000097.png,dense/gt_r_2011_09_26_0001_2_0000000097.png
rgb/r_2011_09_26_0001_2_0000000098.png,dense/gt_r_2011_09_26_0001_2_0000000098.png
rgb/r_2011_09_26_0001_2_0000000099.png,dense/gt_r_2011_09_26_0001_2_0000000099.png
rgb/r_2011_09_26_0001_2_0000000100.png,dense/gt_r_2011_09_26_0001_2_0000000100.png
